Row,FL,X,Y,Z,X1,Y1,Z1
497,a,-82.3,106.4,27.9,-88.43,92.36,20.36
499,a,-85.9,115,27.6,-88.56,113.05,24.63
501,a,-96.7,118.2,25.8,-108.84,112.29,24.34
503,a,-87.6,118.4,24.3,-86.51,115.53,16.63
505,a,-88.1,121,32,-84.21,117.18,45.72
507,a,-90.7,117.1,27.5,-98.54,113.49,23.08
509,a,-102.9,117.3,43.4,-106.69,122.47,44.94
511,a,-83.5,116.8,35.1,-78.35,120.42,38.79
513,a,-93.8,120.5,33.8,-95.84,119.46,31.47
515,a,-87.1,125,38,-83.42,134.86,42.95
517,a,-86.7,124.2,35,-85.56,122.26,26.64
519,a,-96.5,130,39.5,-115.01,130.71,50.37
521,a,-79.8,122.2,38.9,-73.12,119.81,46.86
523,a,-89.6,123.3,33.1,-95.57,119.39,26.4
525,a,-106.8,128.4,50.3,-112.54,119.84,59.37
527,a,-70,106.3,20.8,-70.52,97.98,11.27
529,a,-60.5,102.1,26.9,-48.27,106.32,30.27
531,a,-87.8,104.9,26.6,-99.19,107.45,29.88
533,a,-58.7,107.6,18.8,-49.65,111.52,15.15
535,a,-71.5,106.1,17.6,-84.79,93.95,16.41
537,a,-65.7,111.7,13.1,-62.51,114.56,13.41
539,a,-69.8,109.9,11.6,-74.85,107.12,0.67
541,a,-67.3,111.8,14,-62.96,110.18,9.49
543,a,-74.7,110.2,14.1,-89.39,98.79,2.94
545,a,-78.5,108.7,17.8,-86.87,108.56,18.81
547,a,-61.1,106,15.5,-49.6,100.81,9.04
549,a,-64.8,107.7,12.2,-67.59,104.04,8.56
551,a,-56.4,110.3,13.7,-47.68,117.68,10.24
553,a,-62.6,119.5,6.8,-68.64,125.99,6.11
555,a,-63.2,113.2,-3.6,-60.86,105.05,-8.24
557,a,-45.1,113.1,-6.9,-34.13,106.65,-6.33
559,a,-43.9,114.8,-7.4,-34.67,111.89,-12.97
561,a,-48.9,116.7,-8.4,-48.2,110.13,-16.37
563,a,-52.7,123.4,-7.8,-53.18,123.54,-2.43
565,a,-54.7,125.7,-1.7,-50.38,129.44,-8.91
567,a,-53,126.8,-6.6,-62.85,121.37,-13.47
569,a,-48.9,123.4,-6.5,-43.15,122.6,-16.79
571,a,-57.6,129.7,-3,-60.78,133.62,0.77
573,a,-54.5,130.3,-6.2,-56.08,133.05,-8.31
575,a,-50.1,129.4,-7.7,-43.44,128.57,-12.97
577,a,-50.3,136.6,-4.1,-39.23,139.47,3.31
579,a,-89.9,90,49.2,-89.4,86.83,52.6
581,a,-81.6,95.8,51.9,-76.3,92.89,52.7
583,a,-84.2,95.4,48.2,-85.33,89.47,41.35
585,a,-91.8,92.4,54,-96.29,90.76,49.89
587,a,-79.9,94.1,58,-80.01,95.69,56.72
589,a,-94.7,96.9,55.1,-99.24,92.17,54.13
591,a,-88.2,95.6,58.1,-84.57,99.5,64.38
593,a,-89.3,94.4,56,-89.74,97.27,54.41
595,a,-89.1,93.6,55.7,-95.76,79.26,72.04
597,a,-94.5,95.8,56.6,-99.19,96.72,58.71
599,a,-97.8,93,66.8,-102.44,75.69,76.15
601,a,-101.1,94.8,61.5,-112.82,96.74,61.03
