Row,FL,X,Y,Z,X1,Y1,Z1
323,b,16.9,26.6,18.1,22.28,21.97,26.06
325,b,18.7,29.5,9.2,28.56,22.39,0.97
327,b,20,24.5,17.5,27.34,18.19,22.46
329,b,20.1,25.7,17.7,27.7,21.47,21.45
331,b,-4,39.4,14.7,-9.66,36.24,6.45
333,b,-2.1,41.1,28.2,-5.5,49.31,21.81
335,b,-8,36.4,29.5,-14.49,28.18,32.08
337,b,-2.9,33.1,38.4,-2.99,19.06,46.64
339,b,-8.4,42.4,36.1,-18.84,38.34,46.48
341,b,2.2,38,38.2,12.29,25.48,38.67
343,b,-8.5,39.1,44.6,-16.44,27.65,54.94
345,b,-2,45.2,39.8,-0.16,50.52,29.75
347,b,-3,34.4,46.2,-4.71,22.5,52.49
349,b,-1.9,41.7,42.6,3.84,40.16,41.99
351,b,-5.6,44.5,46.9,-11.77,35.63,63.08
353,b,-5.5,41,16.2,-7.9,39.77,9.21
355,b,-2.5,44.3,18.7,-1.08,51.47,12.12
357,b,-7.4,41.1,18.8,-11.22,35.58,22.93
359,b,-10.5,53.4,22.3,-15.98,50.98,16.62
361,b,-9.3,47.4,30.1,-14.01,40.37,33.2
363,b,-8.3,54.3,31.6,-4.7,51.05,42.33
365,b,-10,58.4,28.6,-7.86,68.73,28.47
367,b,-13.9,54.4,30.7,-21.08,41.44,36.21
369,b,-10,57.9,28.8,-14.16,54.24,26.87
371,b,-11.7,57,33.8,-15.95,44.1,43.98
373,b,-2.5,34.5,21,-6.35,25.52,20.08
375,b,-6,32.4,21.3,-11.53,27.41,17.74
377,b,-5,33,22.7,-13.68,26.19,22.57
379,b,8.3,26.1,19.6,16.48,19.23,20.16
381,b,4.4,23.8,24.8,1.21,11.12,34.1
383,b,5.5,24.3,24,2.29,18.31,24.42
385,b,12.5,25.6,25.5,16.95,16.47,30.43
387,b,2.8,35.5,27.4,6.52,30.81,28.13
389,b,-1.7,33.5,27.8,-0.2,26.74,28.73
391,b,-6.4,38.1,29.8,-10.75,29.99,35.15
393,b,-3.2,43.3,30.7,-8.97,36.55,37.06
395,b,-0.4,42.8,32,4.83,39.23,37.84
397,b,-7.7,40.2,28.6,-15.74,36.78,30.98
399,b,-12.1,22.1,29.3,-22.66,14.8,27.53
401,b,-7.8,20.4,31.6,-18.58,10.22,33.71
403,b,-10.9,20.5,33.6,-18.33,17.28,35.5
405,b,-5.9,23.6,33.7,-7.75,20.83,39.1
407,b,-12.5,20.1,34.7,-22.72,15.32,34.09
409,b,-5.5,19,40.8,1.09,15.06,49.69
411,b,-8.3,20.3,37.4,-5.81,20.06,42.69
413,b,-14.3,15.3,40.5,-28.79,13.21,46.71
415,b,-9.7,14.4,42.5,-4.44,10.46,52.44
417,b,-19,13.8,41.7,-31.54,7.86,42.81
419,b,-14.1,15.7,48.1,-14.9,10.47,58.16
421,b,-21.4,10.6,49.2,-32.83,0.11,59.67
423,b,9.4,40.2,30.4,8.97,36.34,32.54
425,b,5.6,51.3,24.8,-4.17,45.62,25.73
427,b,14.5,45.7,29,20.25,38.75,33.81
429,b,8.6,50.5,29.6,4.94,43.11,40.06
431,b,6.3,53.8,22.6,-2.48,54.28,11.43
433,b,8.9,32.1,28.6,10.07,28.27,29.86
435,b,10.7,37.7,31.7,11.7,42.59,21.92
437,b,10.3,29.4,39.4,12.38,21.19,48.16
439,b,6.4,27.9,44.6,-1.3,16.51,53.75
441,b,14.1,34.5,39.6,26.95,28.94,36.5
443,b,7.7,32.6,45,-4.04,24.29,49.75
445,b,9.6,27.2,47.7,8.59,14.47,55.13
447,b,16.1,33.3,46.8,26.78,33.68,58.38
449,b,8.8,32.1,52.2,0.91,21.77,53
451,b,17.9,35.9,49.5,28.39,40.02,44.65
455,b,18.4,38.3,54,25.32,47.36,46.95
457,b,11.7,28.5,58.9,8.87,12.72,62.92
459,b,20.8,38.4,60.9,34.17,40.8,66.61
461,b,9.9,35.2,60.6,0.84,23.64,60.37
463,b,11.9,34.1,62.2,9.75,25.88,62.9
465,b,16.6,39.8,61,12.37,49.48,57.54
467,b,17.3,30.5,66.4,20.65,28.84,87.32
469,b,13.7,27.5,70.9,11.65,22.41,75.52
471,b,15.3,30.2,74.1,19.91,33.47,72.99
473,b,18.1,25.8,79.1,21.76,11.72,87.51
475,b,9.1,26.1,78.4,4.79,15.07,85.52
477,b,14,31.3,79.9,15.82,26.88,88.7
479,b,12,31.1,82.3,12.01,21.51,96.52
481,b,17.4,35.9,71.4,16.6,29.38,75.76
483,b,16.9,40.5,69.1,20.14,50.69,69.03
485,b,17.6,38.1,80.2,19.44,32.68,93.89
487,b,13,37.3,73.9,5.31,31.19,72.89
489,b,19.1,45.9,76.4,30.91,46.57,85.71
491,b,13.9,41.1,80.7,10.47,29.17,89.56
493,b,18.6,44.2,83.1,24.03,31.13,97.59
495,b,14.3,45.4,76.5,2.42,40.15,81.05
497,b,7.7,27.8,37.5,-3.43,15.08,40.53
499,b,10.7,24,43.7,3.28,9.11,56.68
501,b,19.7,26.7,33.9,23.32,10.51,25.67
503,b,9.1,24.8,43.9,1.13,7.81,53.22
505,b,22.7,21.8,45.4,30.09,2.95,48.51
507,b,12.6,16.6,53.2,4.99,9.51,53.83
509,b,23.8,9.4,56.3,28.49,-6.58,57.24
511,b,10,10.6,59,1.41,-0.03,59.73
513,b,12,10.4,61.9,6.98,-3.16,64.13
515,b,15.7,3.3,66.8,11.68,-8.65,77.61
517,b,10.9,4.9,64.7,5.8,-12.78,67.63
519,b,19.8,4.6,65.4,25.49,-9.32,69.43
521,b,20.5,5.4,65.6,26.24,5.08,69.61
523,b,14.9,8.5,65.7,7.72,8.79,65.61
525,b,17.2,0.1,71.8,16.64,-11.89,76.32
527,b,21.5,6,69.2,27.75,-0.09,71.49
529,b,12.9,2.3,73.9,6.05,-7.01,73.52
531,b,26.6,4,77,35.62,-2.9,84.46
533,b,13.4,6.9,71.6,8.37,0.24,69.25
535,b,21.5,8.4,77.5,28.99,5.1,86.24
537,b,13.7,5.9,77.2,2.47,-5.64,79.06
539,b,19.2,7.1,78.7,14.59,8.27,79.1
541,b,18.7,7.1,80.9,20.37,8.6,87.15
543,b,21.4,5.5,86.1,29.58,1.18,94.1
545,b,14.5,10.4,82,6.73,9.71,80.57
547,b,13.8,-1,85.8,14.38,-12.7,84.53
549,b,17.5,11.3,87.8,24.28,12,93.8
551,b,11.3,4.3,87.7,12.14,-7.11,86.96
553,b,17.8,8.2,93,21.72,-4.96,105.1
555,b,12.5,9.2,93.6,12.37,-1.71,104.04
557,b,12.3,12.2,86.7,1.11,6.33,87.19
559,b,16.7,26.9,53,10.43,18.53,57.03
561,b,32.4,27,49.6,36.66,11.34,48.7
563,b,19.4,30.5,57.7,18.7,10.46,62.08
565,b,33.2,32.1,57.6,38.82,15.26,62.27
567,b,34.9,35.4,51.1,42.56,17.96,47.74
569,b,23,37.7,57.7,8.47,30.32,67.03
571,b,25.3,32.9,59,24.33,15.84,59.87
573,b,30.4,34.2,60.7,29.99,28.66,64.09
575,b,21.8,37.6,59.2,16.21,34.52,58.74
577,b,23.1,33.1,66.3,20.55,24.15,73.98
579,b,26.7,38.3,61.6,32.03,39.58,59.91
581,b,28.8,31.3,67.5,31.44,14.47,69.9
583,b,25.7,38.7,65.7,26.41,37.61,63.31
585,b,25.2,36.6,67.4,30.19,37,69.81
587,b,22,32,75.5,22.48,21.54,77.68
589,b,24.4,38.2,72.8,29.85,41.95,69.4
595,b,22.9,34,81.7,25.38,20.26,91.49
597,b,14.3,38.1,77,7.94,27.97,80.38
599,b,20,40.7,77.7,24.15,44.96,87.7
601,b,16.6,39.1,82,14.95,23.27,92.01
603,b,32.1,33.6,50,35.25,17.68,40.88
605,b,34.3,31.9,52.3,32.03,25.25,54.01
607,b,37.1,32.5,59.3,37.26,25.19,65.02
609,b,41.3,30.5,50.4,50.33,31.24,45.18
611,b,43.7,30.6,60.2,47.76,19.54,68.64
613,b,40.8,31.1,57.2,44.06,30.79,67.61
615,b,47.2,30.2,48.8,50.69,17.08,38.1
617,b,43.4,31.9,56.1,42.87,30.73,59.39
619,b,46,33.3,53,46.29,34.74,48.59
621,b,49.2,30.7,60.3,54.59,24.94,68.25
